Transaction Name,Transaction Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Organization Description,Organization Website,Number of Funding Rounds,Organization Industries,Organization Location,Lead Investors,has_analysis,uses_genai,patterns
Limonist Meta Technology,https://www.limonistmeta.co.uk,,,,,2022-01-01,,AI software solutions,https://www.limonistmeta.co.uk,,"Agency, Artificial intelligence","London, UK, Asia",,true,true,
Workintech,https://www.workintech.com.tr,Seed,100000,USD,100000,2022-01-01,Seed,AI-powered online school for developing tech talent,https://www.workintech.com.tr,1,"Edutech, Artificial intelligence","Istanbul, Turkey, Asia",,true,true,
Find IT Staff,https://www.finditstaff.com,,,,,2022-01-01,,"Microservice transformation, DevOps, cloud transformation, AI, data science and outsourcing solutions",https://www.finditstaff.com,,"Agency, Artificial intelligence","Istanbul, Turkey, Asia",,true,true,
E2E Solutions,https://www.e2esolutions.tech,,,,,2022-01-01,,"Cloud, AI, digital identity and Digital Currency, open source application and software, blockchain and blockchain security solutions",https://www.e2esolutions.tech,,"Blockchain, Cloud, Artificial intelligence","Ankara, Turkey, Asia",,true,true,
Zironsoft,https://zironsoft.com.tr,,,,,2022-01-01,,"Customized software, web-based applications, mobile applications and cloud systems services",https://zironsoft.com.tr,,"Agency, Cloud, Artificial intelligence","Ankara, Turkey, Asia",,true,true,
santrality,https://santrality.com,,,,,2022-01-01,,Technology and media startup that offers subscription services for digital needs by providing thematic publications on blockchain,https://santrality.com,,"Media, Agency, Advertising, Artificial intelligence","Konya, Turkey, Asia",,true,true,
HOP Health,https://hop.health,Seed,1000000,USD,1000000,2022-01-01,Seed,AI supported digital health platform,https://hop.health,1,"Artificial intelligence, Healthtech","Istanbul, Turkey, Asia",,true,true,
Unitlab,https://unitlab.ai,,,,,2022-01-01,,Collaborative and AI-powered data annotation platform,https://unitlab.ai,,"Artificial intelligence, SaaS","New York, USA, Asia",,true,true,
UnnaturalAI,https://www.unnaturalai.com,,,,,2022-01-01,,Artificial intelligence image processing technologies,https://www.unnaturalai.com,,"Image process, Artificial intelligence","Ankara, Turkey, Asia",,true,true,
Hashked,https://hashked.com,,,,,2022-01-01,,System that aims to reduce the number of returns for brands with online stores by using artificial intelligence and augmented modeling technologies,https://hashked.com,,"Sustainability, Textile, Artificial intelligence","Ankara, Turkey, Asia",,true,true,
XON,https://xon.net.tr,,,,,2022-01-01,,"Software services, application modernization and security services",https://xon.net.tr,,"Agency, Artificial intelligence","Kocaeli, Turkey, Asia",,true,true,
